seed_id,seed,cross_source_1_id,cross_source_1_name,cross_source_1_day,cross_source_2_id,cross_source_2_name,cross_source_2_day,by_products_id,by_products_name,score
Seed_036,薩維奈圓蔥種子,Seed_001,皇家可可豆種子,6,Seed_002,希爾奇斯菜薊種子,5,Seed_003,黃杏種子,88
Seed_036,薩維奈圓蔥種子,Seed_004,哈羅妮丁菊種子,6,Seed_005,坦塔爾矮瓜種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_007,妮美雅百合種子,6,Seed_008,帕薩納紅茄種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_007,妮美雅百合種子,6,Seed_002,希爾奇斯菜薊種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_007,妮美雅百合種子,6,Seed_005,坦塔爾矮瓜種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_004,哈羅妮丁菊種子,6,Seed_002,希爾奇斯菜薊種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_009,珍珠葵種子,6,Seed_002,希爾奇斯菜薊種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_009,珍珠葵種子,6,Seed_005,坦塔爾矮瓜種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_009,珍珠葵種子,6,Seed_008,帕薩納紅茄種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_007,妮美雅百合種子,6,Seed_010,米梅特葫蘆種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_011,黃麻種子,7,Seed_010,米梅特葫蘆種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_011,黃麻種子,7,Seed_002,希爾奇斯菜薊種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_012,掃帚草種子,7,Seed_002,希爾奇斯菜薊種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_012,掃帚草種子,7,Seed_005,坦塔爾矮瓜種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_011,黃麻種子,7,Seed_008,帕薩納紅茄種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_012,掃帚草種子,7,Seed_008,帕薩納紅茄種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_012,掃帚草種子,7,Seed_013,庫里爾蘿蔔種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_012,掃帚草種子,7,Seed_010,米梅特葫蘆種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_011,黃麻種子,7,Seed_005,坦塔爾矮瓜種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_009,珍珠葵種子,6,Seed_010,米梅特葫蘆種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_004,哈羅妮丁菊種子,6,Seed_008,帕薩納紅茄種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_007,妮美雅百合種子,6,Seed_013,庫里爾蘿蔔種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_011,黃麻種子,7,Seed_013,庫里爾蘿蔔種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_001,皇家可可豆種子,6,Seed_010,米梅特葫蘆種子,5,Seed_003,黃杏種子,88
Seed_036,薩維奈圓蔥種子,Seed_001,皇家可可豆種子,6,Seed_013,庫里爾蘿蔔種子,5,Seed_003,黃杏種子,88
Seed_036,薩維奈圓蔥種子,Seed_001,皇家可可豆種子,6,Seed_005,坦塔爾矮瓜種子,5,Seed_003,黃杏種子,88
Seed_036,薩維奈圓蔥種子,Seed_001,皇家可可豆種子,6,Seed_008,帕薩納紅茄種子,5,Seed_003,黃杏種子,88
Seed_036,薩維奈圓蔥種子,Seed_004,哈羅妮丁菊種子,6,Seed_010,米梅特葫蘆種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_004,哈羅妮丁菊種子,6,Seed_013,庫里爾蘿蔔種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_036,薩維奈圓蔥種子,Seed_009,珍珠葵種子,6,Seed_013,庫里爾蘿蔔種子,5,Seed_006,提諾爾卡茶樹種子,88
Seed_013,庫里爾蘿蔔種子,Seed_013,庫里爾蘿蔔種子,5,Seed_014,魔蕨菜孢子,5,Seed_015,庫爾札斯茶樹種子,87
Seed_036,薩維奈圓蔥種子,Seed_010,米梅特葫蘆種子,5,Seed_014,魔蕨菜孢子,5,Seed_015,庫爾札斯茶樹種子,87
Seed_036,薩維奈圓蔥種子,Seed_008,帕薩納紅茄種子,5,Seed_014,魔蕨菜孢子,5,Seed_015,庫爾札斯茶樹種子,87
Seed_036,薩維奈圓蔥種子,Seed_016,傘葉無花果種子,7,Seed_013,庫里爾蘿蔔種子,5,Seed_003,黃杏種子,87
Seed_036,薩維奈圓蔥種子,Seed_005,坦塔爾矮瓜種子,5,Seed_014,魔蕨菜孢子,5,Seed_015,庫爾札斯茶樹種子,87
Seed_036,薩維奈圓蔥種子,Seed_016,傘葉無花果種子,7,Seed_008,帕薩納紅茄種子,5,Seed_003,黃杏種子,87
Seed_036,薩維奈圓蔥種子,Seed_016,傘葉無花果種子,7,Seed_005,坦塔爾矮瓜種子,5,Seed_003,黃杏種子,87
Seed_036,薩維奈圓蔥種子,Seed_002,希爾奇斯菜薊種子,5,Seed_014,魔蕨菜孢子,5,Seed_015,庫爾札斯茶樹種子,87
Seed_036,薩維奈圓蔥種子,Seed_016,傘葉無花果種子,7,Seed_010,米梅特葫蘆種子,5,Seed_003,黃杏種子,87
Seed_036,薩維奈圓蔥種子,Seed_016,傘葉無花果種子,7,Seed_002,希爾奇斯菜薊種子,5,Seed_003,黃杏種子,87
Seed_036,薩維奈圓蔥種子,Seed_008,帕薩納紅茄種子,5,Seed_017,血椒種子,7,Seed_015,庫爾札斯茶樹種子,86
Seed_036,薩維奈圓蔥種子,Seed_002,希爾奇斯菜薊種子,5,Seed_017,血椒種子,7,Seed_015,庫爾札斯茶樹種子,86
Seed_036,薩維奈圓蔥種子,Seed_005,坦塔爾矮瓜種子,5,Seed_017,血椒種子,7,Seed_015,庫爾札斯茶樹種子,86
Seed_036,薩維奈圓蔥種子,Seed_010,米梅特葫蘆種子,5,Seed_017,血椒種子,7,Seed_015,庫爾札斯茶樹種子,86
Seed_036,薩維奈圓蔥種子,Seed_018,釉質堅果種子,7,Seed_010,米梅特葫蘆種子,5,Seed_003,黃杏種子,86
Seed_036,薩維奈圓蔥種子,Seed_018,釉質堅果種子,7,Seed_008,帕薩納紅茄種子,5,Seed_003,黃杏種子,86
Seed_036,薩維奈圓蔥種子,Seed_013,庫里爾蘿蔔種子,5,Seed_017,血椒種子,7,Seed_015,庫爾札斯茶樹種子,86
Seed_036,薩維奈圓蔥種子,Seed_018,釉質堅果種子,7,Seed_002,希爾奇斯菜薊種子,5,Seed_003,黃杏種子,86
Seed_036,薩維奈圓蔥種子,Seed_018,釉質堅果種子,7,Seed_005,坦塔爾矮瓜種子,5,Seed_003,黃杏種子,86
Seed_036,薩維奈圓蔥種子,Seed_018,釉質堅果種子,7,Seed_013,庫里爾蘿蔔種子,5,Seed_003,黃杏種子,86
Seed_013,庫里爾蘿蔔種子,Seed_019,血紅奇異果種子,5,Seed_020,克拉卡蘿蔔種子,3,Seed_021,拉札罕檸檬種子,94
Seed_013,庫里爾蘿蔔種子,Seed_022,晶亮蘋果種子,5,Seed_020,克拉卡蘿蔔種子,3,Seed_021,拉札罕檸檬種子,94
Seed_013,庫里爾蘿蔔種子,Seed_023,新薯芽塊,5,Seed_020,克拉卡蘿蔔種子,3,Seed_024,謝爾達萊鳳梨種子,94
Seed_013,庫里爾蘿蔔種子,Seed_037,甘菊種子,5,Seed_020,克拉卡蘿蔔種子,3,Seed_025,奧·哥摩羅漿果種子,94
Seed_013,庫里爾蘿蔔種子,Seed_022,晶亮蘋果種子,5,Seed_026,基薩爾種子,3,Seed_021,拉札罕檸檬種子,93
Seed_013,庫里爾蘿蔔種子,Seed_023,新薯芽塊,5,Seed_027,輝鱗油梨種子,2,Seed_024,謝爾達萊鳳梨種子,93
Seed_013,庫里爾蘿蔔種子,Seed_023,新薯芽塊,5,Seed_028,多瑪青梅種子,2,Seed_024,謝爾達萊鳳梨種子,93
Seed_013,庫里爾蘿蔔種子,Seed_023,新薯芽塊,5,Seed_029,瓦爾醋栗種子,2,Seed_024,謝爾達萊鳳梨種子,93
Seed_013,庫里爾蘿蔔種子,Seed_023,新薯芽塊,5,Seed_030,塞爾法特爾沙果種子,2,Seed_024,謝爾達萊鳳梨種子,93
